player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def
J.T. Miller (C/W),Vancouver Canucks,69,27,45,72,1.04,47,11,https://www.eliteprospects.com/player/38624/j.t.-miller,2019-2020,nhl,J.T. Miller,C/W,FW
Alexander Ovechkin (LW),Washington Capitals,68,48,19,67,0.99,30,-12,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2019-2020,nhl,Alexander Ovechkin,LW,FW
Mitchell Marner (RW/C),Toronto Maple Leafs,59,16,51,67,1.14,16,6,https://www.eliteprospects.com/player/223194/mitchell-marner,2019-2020,nhl,Mitchell Marner,RW/C,FW
Sebastian Aho (C/W),Carolina Hurricanes,68,38,28,66,0.97,26,10,https://www.eliteprospects.com/player/152111/sebastian-aho,2019-2020,nhl,Sebastian Aho,C/W,FW
Max Pacioretty (LW),Vegas Golden Knights,71,32,34,66,0.93,44,18,https://www.eliteprospects.com/player/12461/max-pacioretty,2019-2020,nhl,Max Pacioretty,LW,FW
Steven Stamkos (C/W),Tampa Bay Lightning,57,29,37,66,1.16,22,14,https://www.eliteprospects.com/player/11113/steven-stamkos,2019-2020,nhl,Steven Stamkos,C/W,FW
Elias Pettersson (C/W),Vancouver Canucks,68,27,39,66,0.97,18,16,https://www.eliteprospects.com/player/266336/elias-pettersson,2019-2020,nhl,Elias Pettersson,C/W,FW
Blake Wheeler (RW/C),Winnipeg Jets,71,22,43,65,0.92,37,1,https://www.eliteprospects.com/player/9215/blake-wheeler,2019-2020,nhl,Blake Wheeler,RW/C,FW
Roman Josi (D),Nashville Predators,69,16,49,65,0.94,41,22,https://www.eliteprospects.com/player/12668/roman-josi,2019-2020,nhl,Roman Josi,D,DEF
Brayden Point (C),Tampa Bay Lightning,66,25,39,64,0.97,11,28,https://www.eliteprospects.com/player/62204/brayden-point,2019-2020,nhl,Brayden Point,C,FW
Patrik Laine (LW/RW),Winnipeg Jets,68,28,35,63,0.93,22,8,https://www.eliteprospects.com/player/221667/patrik-laine,2019-2020,nhl,Patrik Laine,LW/RW,FW
Mark Stone (RW),Vegas Golden Knights,65,21,42,63,0.97,27,15,https://www.eliteprospects.com/player/32806/mark-stone,2019-2020,nhl,Mark Stone,RW,FW
Teuvo Teräväinen (C/W),Carolina Hurricanes,68,15,48,63,0.93,8,20,https://www.eliteprospects.com/player/44567/teuvo-teravainen,2019-2020,nhl,Teuvo Teräväinen,C/W,FW
Anze Kopitar (C),Los Angeles Kings,70,21,41,62,0.89,16,6,https://www.eliteprospects.com/player/4233/anze-kopitar,2019-2020,nhl,Anze Kopitar,C,FW
Aleksander Barkov (C),Florida Panthers,66,20,42,62,0.94,18,2,https://www.eliteprospects.com/player/50044/aleksander-barkov,2019-2020,nhl,Aleksander Barkov,C,FW
Travis Konecny (RW/LW),Philadelphia Flyers,66,24,37,61,0.92,28,-1,https://www.eliteprospects.com/player/205148/travis-konecny,2019-2020,nhl,Travis Konecny,RW/LW,FW
Andrei Svechnikov (RW/LW),Carolina Hurricanes,68,24,37,61,0.90,54,9,https://www.eliteprospects.com/player/328556/andrei-svechnikov,2019-2020,nhl,Andrei Svechnikov,RW/LW,FW
Matthew Tkachuk (LW/RW),Calgary Flames,69,23,38,61,0.88,74,-5,https://www.eliteprospects.com/player/233030/matthew-tkachuk,2019-2020,nhl,Matthew Tkachuk,LW/RW,FW
Ryan Nugent-Hopkins (C/W),Edmonton Oilers,65,22,39,61,0.94,33,1,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,2019-2020,nhl,Ryan Nugent-Hopkins,C/W,FW
Tomas Tatar (LW/RW),Montréal Canadiens,68,22,39,61,0.90,36,5,https://www.eliteprospects.com/player/17750/tomas-tatar,2019-2020,nhl,Tomas Tatar,LW/RW,FW
Ryan O'Reilly (C),St. Louis Blues,71,12,49,61,0.86,10,11,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2019-2020,nhl,Ryan O'Reilly,C,FW
John Tavares (C/LW),Toronto Maple Leafs,63,26,34,60,0.95,24,-7,https://www.eliteprospects.com/player/9223/john-tavares,2019-2020,nhl,John Tavares,C/LW,FW
David Perron (LW/RW),St. Louis Blues,71,25,35,60,0.85,52,2,https://www.eliteprospects.com/player/11123/david-perron,2019-2020,nhl,David Perron,LW/RW,FW
Mathew Barzal (C/RW),New York Islanders,68,19,41,60,0.88,44,5,https://www.eliteprospects.com/player/186310/mathew-barzal,2019-2020,nhl,Mathew Barzal,C/RW,FW
Jonathan Toews (C),Chicago Blackhawks,70,18,42,60,0.86,48,-2,https://www.eliteprospects.com/player/8792/jonathan-toews,2019-2020,nhl,Jonathan Toews,C,FW
William Nylander (W/C),Toronto Maple Leafs,68,31,28,59,0.87,12,-2,https://www.eliteprospects.com/player/38703/william-nylander,2019-2020,nhl,William Nylander,W/C,FW
Mike Hoffman (LW/C),Florida Panthers,69,29,30,59,0.86,28,-5,https://www.eliteprospects.com/player/18800/mike-hoffman,2019-2020,nhl,Mike Hoffman,LW/C,FW
Sean Couturier (C),Philadelphia Flyers,69,22,37,59,0.86,30,21,https://www.eliteprospects.com/player/32885/sean-couturier,2019-2020,nhl,Sean Couturier,C,FW
Ryan Strome (C/RW),New York Rangers,70,18,41,59,0.84,48,21,https://www.eliteprospects.com/player/44789/ryan-strome,2019-2020,nhl,Ryan Strome,C/RW,FW
Nikolaj Ehlers (LW),Winnipeg Jets,71,25,33,58,0.82,30,14,https://www.eliteprospects.com/player/66581/nikolaj-ehlers,2019-2020,nhl,Nikolaj Ehlers,LW,FW
Brayden Schenn (C/W),St. Louis Blues,71,25,33,58,0.82,44,3,https://www.eliteprospects.com/player/14739/brayden-schenn,2019-2020,nhl,Brayden Schenn,C/W,FW
Johnny Gaudreau (LW),Calgary Flames,70,18,40,58,0.83,12,-10,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2019-2020,nhl,Johnny Gaudreau,LW,FW
Jaden Schwartz (LW),St. Louis Blues,71,22,35,57,0.80,18,3,https://www.eliteprospects.com/player/33907/jaden-schwartz,2019-2020,nhl,Jaden Schwartz,LW,FW
Patrice Bergeron (C),Boston Bruins,61,31,25,56,0.92,28,23,https://www.eliteprospects.com/player/9079/patrice-bergeron,2019-2020,nhl,Patrice Bergeron,C,FW
Bryan Rust (RW/LW),Pittsburgh Penguins,55,27,29,56,1.02,30,14,https://www.eliteprospects.com/player/20708/bryan-rust,2019-2020,nhl,Bryan Rust,RW/LW,FW
Jakub Voráček (RW),Philadelphia Flyers,69,12,44,56,0.81,31,14,https://www.eliteprospects.com/player/9285/jakub-voracek,2019-2020,nhl,Jakub Voráček,RW,FW
Victor Hedman (D),Tampa Bay Lightning,66,11,44,55,0.83,31,27,https://www.eliteprospects.com/player/6007/victor-hedman,2019-2020,nhl,Victor Hedman,D,DEF
Elias Lindholm (C/RW),Calgary Flames,70,29,25,54,0.77,22,-8,https://www.eliteprospects.com/player/33387/elias-lindholm,2019-2020,nhl,Elias Lindholm,C/RW,FW
Reilly Smith (RW/LW),Vegas Golden Knights,71,27,27,54,0.76,20,17,https://www.eliteprospects.com/player/33903/reilly-smith,2019-2020,nhl,Reilly Smith,RW/LW,FW
Brock Nelson (C),New York Islanders,68,26,28,54,0.79,32,6,https://www.eliteprospects.com/player/74997/brock-nelson,2019-2020,nhl,Brock Nelson,C,FW
Kevin Fiala (W/C),Minnesota Wild,64,23,31,54,0.84,42,-1,https://www.eliteprospects.com/player/87971/kevin-fiala,2019-2020,nhl,Kevin Fiala,W/C,FW
Nicklas Bäckström (C),Washington Capitals,61,12,42,54,0.89,14,-1,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2019-2020,nhl,Nicklas Bäckström,C,FW
Bo Horvat (C),Vancouver Canucks,69,22,31,53,0.77,21,-15,https://www.eliteprospects.com/player/117012/bo-horvat,2019-2020,nhl,Bo Horvat,C,FW
Claude Giroux (W/C),Philadelphia Flyers,69,21,32,53,0.77,28,7,https://www.eliteprospects.com/player/10437/claude-giroux,2019-2020,nhl,Claude Giroux,W/C,FW
Dylan Larkin (C),Detroit Red Wings,71,19,34,53,0.75,39,-21,https://www.eliteprospects.com/player/177693/dylan-larkin,2019-2020,nhl,Dylan Larkin,C,FW
Tony DeAngelo (D),New York Rangers,68,15,38,53,0.78,47,12,https://www.eliteprospects.com/player/89818/tony-deangelo,2019-2020,nhl,Tony DeAngelo,D,DEF
Quinn Hughes (D),Vancouver Canucks,68,8,45,53,0.78,22,-10,https://www.eliteprospects.com/player/201671/quinn-hughes,2019-2020,nhl,Quinn Hughes,D,DEF
Jakub Vrána (LW/RW),Washington Capitals,69,25,27,52,0.75,18,3,https://www.eliteprospects.com/player/101250/jakub-vrana,2019-2020,nhl,Jakub Vrána,LW/RW,FW
Yevgeni Kuznetsov (C/RW),Washington Capitals,63,19,33,52,0.83,40,-2,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,2019-2020,nhl,Yevgeni Kuznetsov,C/RW,FW
Taylor Hall (LW/C),totals,65,16,36,52,0.80,34,-14,https://www.eliteprospects.com/player/14360/taylor-hall,2019-2020,nhl,Taylor Hall,LW/C,FW
Alex Pietrangelo (D),St. Louis Blues,70,16,36,52,0.74,20,11,https://www.eliteprospects.com/player/11317/alex-pietrangelo,2019-2020,nhl,Alex Pietrangelo,D,DEF
Sam Reinhart (C/RW),Buffalo Sabres,69,22,28,50,0.72,20,-15,https://www.eliteprospects.com/player/95032/sam-reinhart,2019-2020,nhl,Sam Reinhart,C/RW,FW
Tyler Seguin (C/RW),Dallas Stars,69,17,33,50,0.72,22,-2,https://www.eliteprospects.com/player/23807/tyler-seguin,2019-2020,nhl,Tyler Seguin,C/RW,FW
Cale Makar (D),Colorado Avalanche,57,12,38,50,0.88,12,12,https://www.eliteprospects.com/player/199655/cale-makar,2019-2020,nhl,Cale Makar,D,DEF
Alex Killorn (LW/RW),Tampa Bay Lightning,68,26,23,49,0.72,20,19,https://www.eliteprospects.com/player/12523/alex-killorn,2019-2020,nhl,Alex Killorn,LW/RW,FW
T.J. Oshie (RW),Washington Capitals,69,26,23,49,0.71,26,4,https://www.eliteprospects.com/player/9209/t.j.-oshie,2019-2020,nhl,T.J. Oshie,RW,FW
Timo Meier (RW/LW),San Jose Sharks,70,22,27,49,0.70,42,-22,https://www.eliteprospects.com/player/95921/timo-meier,2019-2020,nhl,Timo Meier,RW/LW,FW
Pierre-Luc Dubois (C/LW),Columbus Blue Jackets,70,18,31,49,0.70,49,-2,https://www.eliteprospects.com/player/252480/pierre-luc-dubois,2019-2020,nhl,Pierre-Luc Dubois,C/LW,FW
Torey Krug (D),Boston Bruins,61,9,40,49,0.80,33,-4,https://www.eliteprospects.com/player/37747/torey-krug,2019-2020,nhl,Torey Krug,D,DEF
Sean Monahan (C),Calgary Flames,70,22,26,48,0.69,25,-16,https://www.eliteprospects.com/player/85013/sean-monahan,2019-2020,nhl,Sean Monahan,C,FW
Filip Forsberg (W/C),Nashville Predators,63,21,27,48,0.76,29,-7,https://www.eliteprospects.com/player/29626/filip-forsberg,2019-2020,nhl,Filip Forsberg,W/C,FW
Tyler Bertuzzi (LW/RW),Detroit Red Wings,71,21,27,48,0.68,40,-23,https://www.eliteprospects.com/player/125028/tyler-bertuzzi,2019-2020,nhl,Tyler Bertuzzi,LW/RW,FW
Ryan Suter (D),Minnesota Wild,69,8,40,48,0.70,12,-6,https://www.eliteprospects.com/player/8897/ryan-suter,2019-2020,nhl,Ryan Suter,D,DEF
Evander Kane (LW/RW),San Jose Sharks,64,26,21,47,0.73,122,-12,https://www.eliteprospects.com/player/14657/evander-kane,2019-2020,nhl,Evander Kane,LW/RW,FW
Yevgeni Dadonov (RW/LW),Florida Panthers,69,25,22,47,0.68,10,-7,https://www.eliteprospects.com/player/11859/yevgeni-dadonov,2019-2020,nhl,Yevgeni Dadonov,RW/LW,FW
Jonathan Marchessault (LW/RW),Vegas Golden Knights,66,22,25,47,0.71,28,6,https://www.eliteprospects.com/player/32872/jonathan-marchessault,2019-2020,nhl,Jonathan Marchessault,LW/RW,FW
Eric Staal (C),Minnesota Wild,66,19,28,47,0.71,28,-9,https://www.eliteprospects.com/player/3656/eric-staal,2019-2020,nhl,Eric Staal,C,FW
Sidney Crosby (C),Pittsburgh Penguins,41,16,31,47,1.15,15,-8,https://www.eliteprospects.com/player/6146/sidney-crosby,2019-2020,nhl,Sidney Crosby,C,FW
Phillip Danault (C/LW),Montréal Canadiens,71,13,34,47,0.66,32,18,https://www.eliteprospects.com/player/45282/phillip-danault,2019-2020,nhl,Phillip Danault,C/LW,FW
Dominik Kubalík (LW/RW),Chicago Blackhawks,68,30,16,46,0.68,16,2,https://www.eliteprospects.com/player/101221/dominik-kubalik,2019-2020,nhl,Dominik Kubalík,LW/RW,FW
Zach Parise (LW/RW),Minnesota Wild,69,25,21,46,0.67,8,-11,https://www.eliteprospects.com/player/8903/zach-parise,2019-2020,nhl,Zach Parise,LW/RW,FW
Pavel Buchnevich (W/C),New York Rangers,68,16,30,46,0.68,24,2,https://www.eliteprospects.com/player/158906/pavel-buchnevich,2019-2020,nhl,Pavel Buchnevich,W/C,FW
William Karlsson (C),Vegas Golden Knights,63,15,31,46,0.73,16,11,https://www.eliteprospects.com/player/19432/william-karlsson,2019-2020,nhl,William Karlsson,C,FW
Shea Theodore (D),Vegas Golden Knights,71,13,33,46,0.65,25,12,https://www.eliteprospects.com/player/101581/shea-theodore,2019-2020,nhl,Shea Theodore,D,DEF
Kyle Palmieri (RW),New Jersey Devils,65,25,20,45,0.69,41,-4,https://www.eliteprospects.com/player/17508/kyle-palmieri,2019-2020,nhl,Kyle Palmieri,RW,FW
Chris Kreider (LW/RW),New York Rangers,63,24,21,45,0.71,58,13,https://www.eliteprospects.com/player/37998/chris-kreider,2019-2020,nhl,Chris Kreider,LW/RW,FW
Tanner Pearson (LW/RW),Vancouver Canucks,69,21,24,45,0.65,27,-4,https://www.eliteprospects.com/player/75951/tanner-pearson,2019-2020,nhl,Tanner Pearson,LW/RW,FW
André Burakovsky (LW/RW),Colorado Avalanche,58,20,25,45,0.78,22,11,https://www.eliteprospects.com/player/38705/andre-burakovsky,2019-2020,nhl,André Burakovsky,LW/RW,FW
Alex DeBrincat (LW/RW),Chicago Blackhawks,70,18,27,45,0.64,15,-10,https://www.eliteprospects.com/player/231275/alex-debrincat,2019-2020,nhl,Alex DeBrincat,LW/RW,FW
Brock Boeser (RW/LW),Vancouver Canucks,57,16,29,45,0.79,14,4,https://www.eliteprospects.com/player/248381/brock-boeser,2019-2020,nhl,Brock Boeser,RW/LW,FW
Mikael Backlund (C/LW),Calgary Flames,70,16,29,45,0.64,26,3,https://www.eliteprospects.com/player/4295/mikael-backlund,2019-2020,nhl,Mikael Backlund,C/LW,FW
Brent Burns (D),San Jose Sharks,70,12,33,45,0.64,34,-22,https://www.eliteprospects.com/player/9103/brent-burns,2019-2020,nhl,Brent Burns,D,DEF
Nick Schmaltz (C/RW),Arizona Coyotes,70,11,34,45,0.64,20,3,https://www.eliteprospects.com/player/156966/nick-schmaltz,2019-2020,nhl,Nick Schmaltz,C/RW,FW
Neal Pionk (D),Winnipeg Jets,71,6,39,45,0.63,32,10,https://www.eliteprospects.com/player/196583/neal-pionk,2019-2020,nhl,Neal Pionk,D,DEF
Keith Yandle (D),Florida Panthers,69,5,40,45,0.65,20,0,https://www.eliteprospects.com/player/10247/keith-yandle,2019-2020,nhl,Keith Yandle,D,DEF
Tyler Toffoli (C/W),totals,68,24,20,44,0.65,20,-1,https://www.eliteprospects.com/player/23813/tyler-toffoli,2019-2020,nhl,Tyler Toffoli,C/W,FW
Gabriel Landeskog (LW/RW),Colorado Avalanche,54,21,23,44,0.81,47,-2,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2019-2020,nhl,Gabriel Landeskog,LW/RW,FW
Tom Wilson (RW),Washington Capitals,68,21,23,44,0.65,93,-3,https://www.eliteprospects.com/player/98663/tom-wilson,2019-2020,nhl,Tom Wilson,RW,FW
Brady Tkachuk (LW),Ottawa Senators,71,21,23,44,0.62,106,-14,https://www.eliteprospects.com/player/201473/brady-tkachuk,2019-2020,nhl,Brady Tkachuk,LW,FW
Clayton Keller (RW/LW),Arizona Coyotes,70,17,27,44,0.63,28,-6,https://www.eliteprospects.com/player/226432/clayton-keller,2019-2020,nhl,Clayton Keller,RW/LW,FW
Max Domi (C/W),Montréal Canadiens,71,17,27,44,0.62,35,-3,https://www.eliteprospects.com/player/95484/max-domi,2019-2020,nhl,Max Domi,C/W,FW
Anthony Cirelli (C),Tampa Bay Lightning,68,16,28,44,0.65,30,28,https://www.eliteprospects.com/player/274875/anthony-cirelli,2019-2020,nhl,Anthony Cirelli,C,FW
Kris Letang (D),Pittsburgh Penguins,61,15,29,44,0.72,38,0,https://www.eliteprospects.com/player/9189/kris-letang,2019-2020,nhl,Kris Letang,D,DEF
Nikita Gusev (LW),New Jersey Devils,66,13,31,44,0.67,12,-15,https://www.eliteprospects.com/player/75169/nikita-gusev,2019-2020,nhl,Nikita Gusev,LW,FW
Adam Henrique (C/LW),Anaheim Ducks,71,26,17,43,0.61,22,-2,https://www.eliteprospects.com/player/19043/adam-henrique,2019-2020,nhl,Adam Henrique,C/LW,FW
Brendan Gallagher (RW),Montréal Canadiens,59,22,21,43,0.73,29,9,https://www.eliteprospects.com/player/25705/brendan-gallagher,2019-2020,nhl,Brendan Gallagher,RW,FW
Jake Guentzel (LW),Pittsburgh Penguins,39,20,23,43,1.10,14,11,https://www.eliteprospects.com/player/199870/jake-guentzel,2019-2020,nhl,Jake Guentzel,LW,FW
Anders Lee (LW),New York Islanders,68,20,23,43,0.63,47,8,https://www.eliteprospects.com/player/19068/anders-lee,2019-2020,nhl,Anders Lee,LW,FW
Alex Iafallo (LW/C),Los Angeles Kings,70,17,26,43,0.61,14,1,https://www.eliteprospects.com/player/121859/alex-iafallo,2019-2020,nhl,Alex Iafallo,LW/C,FW
Connor Brown (RW/LW),Ottawa Senators,71,16,27,43,0.61,24,-6,https://www.eliteprospects.com/player/97341/connor-brown,2019-2020,nhl,Connor Brown,RW/LW,FW
Josh Bailey (RW/C),New York Islanders,68,14,29,43,0.63,10,-12,https://www.eliteprospects.com/player/14013/josh-bailey,2019-2020,nhl,Josh Bailey,RW/C,FW
David Krejčí (C),Boston Bruins,61,13,30,43,0.70,23,14,https://www.eliteprospects.com/player/9226/david-krejci,2019-2020,nhl,David Krejčí,C,FW
Jean-Gabriel Pageau (C),totals,67,26,16,42,0.63,49,4,https://www.eliteprospects.com/player/45134/jean-gabriel-pageau,2019-2020,nhl,Jean-Gabriel Pageau,C,FW
Victor Olofsson (LW/RW),Buffalo Sabres,54,20,22,42,0.78,6,-1,https://www.eliteprospects.com/player/86308/victor-olofsson,2019-2020,nhl,Victor Olofsson,LW/RW,FW
Rickard Rakell (W/C),Anaheim Ducks,65,15,27,42,0.65,12,-5,https://www.eliteprospects.com/player/17435/rickard-rakell,2019-2020,nhl,Rickard Rakell,W/C,FW
Gustav Nyquist (C/W),Columbus Blue Jackets,70,15,27,42,0.60,16,4,https://www.eliteprospects.com/player/6223/gustav-nyquist,2019-2020,nhl,Gustav Nyquist,C/W,FW
Matt Duchene (C/LW),Nashville Predators,66,13,29,42,0.64,24,-4,https://www.eliteprospects.com/player/12571/matt-duchene,2019-2020,nhl,Matt Duchene,C/LW,FW
Ryan Getzlaf (C),Anaheim Ducks,69,13,29,42,0.61,58,-16,https://www.eliteprospects.com/player/8526/ryan-getzlaf,2019-2020,nhl,Ryan Getzlaf,C,FW
Robert Thomas (C/RW),St. Louis Blues,66,10,32,42,0.64,18,9,https://www.eliteprospects.com/player/201681/robert-thomas,2019-2020,nhl,Robert Thomas,C/RW,FW
Adam Fox (D),New York Rangers,70,8,34,42,0.60,32,22,https://www.eliteprospects.com/player/248380/adam-fox,2019-2020,nhl,Adam Fox,D,DEF
Kevin Hayes (C/LW),Philadelphia Flyers,69,23,18,41,0.59,34,-6,https://www.eliteprospects.com/player/40243/kevin-hayes,2019-2020,nhl,Kevin Hayes,C/LW,FW
Jason Zucker (LW/RW),totals,60,20,21,41,0.68,21,-4,https://www.eliteprospects.com/player/20726/jason-zucker,2019-2020,nhl,Jason Zucker,LW/RW,FW
Zach Werenski (D),Columbus Blue Jackets,63,20,21,41,0.65,10,9,https://www.eliteprospects.com/player/186311/zach-werenski,2019-2020,nhl,Zach Werenski,D,DEF
Mikko Rantanen (W/C),Colorado Avalanche,42,19,22,41,0.98,14,-2,https://www.eliteprospects.com/player/91186/mikko-rantanen,2019-2020,nhl,Mikko Rantanen,W/C,FW
Ondrej Palat (LW/RW),Tampa Bay Lightning,69,17,24,41,0.59,22,25,https://www.eliteprospects.com/player/18097/ondrej-palat,2019-2020,nhl,Ondrej Palat,LW/RW,FW
Nick Suzuki (C),Montréal Canadiens,71,13,28,41,0.58,6,-15,https://www.eliteprospects.com/player/300436/nick-suzuki,2019-2020,nhl,Nick Suzuki,C,FW
Aaron Ekblad (D),Florida Panthers,67,5,36,41,0.61,26,12,https://www.eliteprospects.com/player/49042/aaron-ekblad,2019-2020,nhl,Aaron Ekblad,D,DEF
Anthony Duclair (W/C),Ottawa Senators,66,23,17,40,0.61,18,-5,https://www.eliteprospects.com/player/98665/anthony-duclair,2019-2020,nhl,Anthony Duclair,W/C,FW
James van Riemsdyk (LW/RW),Philadelphia Flyers,66,19,21,40,0.61,8,5,https://www.eliteprospects.com/player/9324/james-van-riemsdyk,2019-2020,nhl,James van Riemsdyk,LW/RW,FW
Jordan Eberle (RW/C),New York Islanders,58,16,24,40,0.69,12,1,https://www.eliteprospects.com/player/11098/jordan-eberle,2019-2020,nhl,Jordan Eberle,RW/C,FW
Dougie Hamilton (D),Carolina Hurricanes,47,14,26,40,0.85,32,30,https://www.eliteprospects.com/player/45596/dougie-hamilton,2019-2020,nhl,Dougie Hamilton,D,DEF
Jeff Petry (D),Montréal Canadiens,71,11,29,40,0.56,26,-10,https://www.eliteprospects.com/player/12265/jeff-petry,2019-2020,nhl,Jeff Petry,D,DEF
Erik Karlsson (D),San Jose Sharks,56,6,34,40,0.71,16,-15,https://www.eliteprospects.com/player/9878/erik-karlsson,2019-2020,nhl,Erik Karlsson,D,DEF
Rasmus Dahlin (D),Buffalo Sabres,59,4,36,40,0.68,38,-7,https://www.eliteprospects.com/player/310545/rasmus-dahlin,2019-2020,nhl,Rasmus Dahlin,D,DEF
Conor Garland (RW/LW),Arizona Coyotes,68,22,17,39,0.57,20,1,https://www.eliteprospects.com/player/177208/conor-garland,2019-2020,nhl,Conor Garland,RW/LW,FW
Jakob Silfverberg (RW/LW),Anaheim Ducks,66,21,18,39,0.59,14,0,https://www.eliteprospects.com/player/6562/jakob-silfverberg,2019-2020,nhl,Jakob Silfverberg,RW/LW,FW
Jamie Benn (LW/C),Dallas Stars,69,19,20,39,0.57,53,-4,https://www.eliteprospects.com/player/15399/jamie-benn,2019-2020,nhl,Jamie Benn,LW/C,FW
Anthony Beauvillier (W/C),New York Islanders,68,18,21,39,0.57,15,-11,https://www.eliteprospects.com/player/213435/anthony-beauvillier,2019-2020,nhl,Anthony Beauvillier,W/C,FW
Logan Couture (C/LW),San Jose Sharks,52,16,23,39,0.75,18,0,https://www.eliteprospects.com/player/11109/logan-couture,2019-2020,nhl,Logan Couture,C/LW,FW
Lars Eller (C/LW),Washington Capitals,69,16,23,39,0.57,48,3,https://www.eliteprospects.com/player/5995/lars-eller,2019-2020,nhl,Lars Eller,C/LW,FW
Thomas Chabot (D),Ottawa Senators,71,6,33,39,0.55,42,-18,https://www.eliteprospects.com/player/213607/thomas-chabot,2019-2020,nhl,Thomas Chabot,D,DEF
Tyson Barrie (D),Toronto Maple Leafs,70,5,34,39,0.56,16,-7,https://www.eliteprospects.com/player/15127/tyson-barrie,2019-2020,nhl,Tyson Barrie,D,DEF
Christian Dvorak (C/LW),Arizona Coyotes,70,18,20,38,0.54,12,6,https://www.eliteprospects.com/player/194889/christian-dvorak,2019-2020,nhl,Christian Dvorak,C/LW,FW
Paul Stastny (C),Vegas Golden Knights,71,17,21,38,0.54,24,6,https://www.eliteprospects.com/player/10212/paul-stastny,2019-2020,nhl,Paul Stastny,C,FW
Anthony Mantha (RW/LW),Detroit Red Wings,43,16,22,38,0.88,34,-7,https://www.eliteprospects.com/player/104045/anthony-mantha,2019-2020,nhl,Anthony Mantha,RW/LW,FW
Phil Kessel (RW),Arizona Coyotes,70,14,24,38,0.54,22,-21,https://www.eliteprospects.com/player/8793/phil-kessel,2019-2020,nhl,Phil Kessel,RW,FW
Dylan Strome (C),Chicago Blackhawks,58,12,26,38,0.66,16,1,https://www.eliteprospects.com/player/228107/dylan-strome,2019-2020,nhl,Dylan Strome,C,FW
